Bus,busmap
515,DEA3
516,DEA3
517,DE23
518,DE23
519,DE73
520,DE40
521,DE40
522,DEA2
523,DE23
524,DEA3
525,DEA3
526,DEE0
527,DEE0
528,DE91
529,DE40
530,DE40
531,DE80
532,DE92
533,DE30
534,DED2
535,DE40
536,DE27
537,DEF0
538,DEF0
539,DEF0
540,DEF0
541,DE14
542,DE14
543,DE27
544,DE27
545,DE27
546,DE11
547,DE14
548,DE14
549,DE14
550,DE14
551,DE13
552,DE13
553,DE13
554,DE26
555,DE94
556,DE80
557,DE80
558,DE80
559,DE80
560,DE94
561,DE94
562,DE12
563,DEA5
564,DEA2
565,DEE0
566,DE12
567,DE12
568,DE12
569,DED5
570,DED5
571,DE92
572,DE12
573,DE12
574,DE93
575,DE93
576,DE92
577,DEE0
578,DEE0
579,DE94
580,DE94
581,DEA1
582,DEA1
583,DE94
584,DE94
585,DEF0
586,DEF0
587,DEA5
588,DEA5
589,DE13
590,DED4
591,DE94
592,DE94
593,DE11
594,DE12
595,DEA4
596,DEA4
597,DE80
598,DE40
599,DE73
600,DE73
601,DE11
602,DE11
603,DE14
604,DE14
605,DE13
606,DE11
607,DE11
608,DEB2
609,DEB2
610,DE71
611,DE71
612,DEA2
613,DEA2
614,DEA5
615,DEA5
616,DEA5
617,DEA3
618,DEA4
619,DE14
620,DEA5
621,DEA5
622,DEA5
623,DEA3
624,DEA3
625,DE94
626,DE94
627,DE11
628,DE11
629,
630,DE12
631,DE12
632,DE12
633,DE12
634,DE11
635,DE94
636,AT31
637,DE72
638,DEA5
639,DE40
640,DE27
641,DEC0
642,DEC0
643,DE26
644,DE26
645,DE27
646,DE27
647,DE40
648,PL51
649,PL51
650,DE40
651,DE40
652,DEF0
653,DEF0
654,DE94
655,DE94
656,DE71
657,DEA5
658,DEA5
659,DEB2
660,DE21
661,DEF0
662,DEF0
663,DEF0
664,DE21
665,DE27
666,DE22
667,DE22
668,DE22
669,DEC0
670,DEC0
671,DEC0
672,DEC0
673,DEC0
674,DEA5
675,DEA5
676,DE13
677,DE13
678,DEF0
679,DEF0
680,DEA1
681,DEA1
682,DE13
683,DE13
684,DEB1
685,DEB1
686,DEB2
687,DEC0
688,DEC0
689,DEA5
690,DE21
691,DEA1
692,DEA1
693,DE24
694,DE13
695,DEA1
696,DEA1
697,DED4
698,DEA3
699,DEA3
700,DEG0
701,DEG0
702,DEF0
703,DEA5
704,DE21
705,DE21
706,DE40
707,DE40
708,DE21
709,DE21
710,DE11
711,DEG0
712,DEG0
713,DE12
714,DE12
715,DE12
716,DEB2
717,DEB2
718,DE13
719,DE13
720,DE71
721,DE71
722,DEG0
723,DE73
724,DE71
725,DE71
726,DEB2
727,DEB2
728,DEB2
729,DEB2
730,DEB3
731,DEB3
732,DEG0
733,DEB1
734,DEB1
735,DEB3
736,DEB3
737,DEB3
738,DEB3
739,DE12
740,DE12
741,DEB1
742,DEB1
743,DEC0
744,DE73
745,DEG0
746,DEG0
747,DE12
748,DE12
749,DE73
750,DEG0
751,DED2
752,DEA5
753,DED2
754,DE12
756,DEB1
757,DE12
758,DED4
759,DED4
760,DE40
761,DE40
762,DE40
763,DE91
764,DE91
765,DED4
766,DE94
767,DE94
768,DEB1
769,DEB1
770,DE72
771,DE13
772,DE94
773,
774,DE80
775,DE12
776,DEB3
777,DEB3
778,
779,
780,DE40
781,DE71
782,DE71
783,DE91
784,DEA4
785,DEA4
786,DEA4
787,DEF0
788,DK03
789,DK03
790,DEA3
791,DEB3
792,DEE0
793,DE40
794,DED5
795,DED5
796,DEF0
797,DE80
798,DE80
799,DE80
800,DE80
801,DE80
802,DE40
803,DEB3
804,DEB3
805,DEF0
806,DE27
807,DE27
808,DE91
809,DE91
810,DEF0
811,DE94
812,DE94
813,DE94
814,DE94
815,DEA3
816,DE91
817,DE91
818,DE92
819,DE94
820,DE94
821,DE94
822,DEF0
823,DE40
824,DE40
825,DE40
826,DE40
827,DE80
828,DE80
829,DED2
830,DED2
831,DE80
832,DE80
833,DEE0
834,DEE0
835,DE80
836,DEF0
837,DE80
838,DEG0
839,DE91
840,DE91
841,DEA3
842,DEA3
843,DE92
844,DE92
845,DE92
846,DE92
847,DE25
848,DE93
849,DE93
850,DEB2
851,DE40
852,DEF0
853,DE93
854,DED4
855,DE27
856,DE11
857,DEF0
858,DE94
859,DE72
860,DE72
862,DK01
863,DK01
864,DK01
865,DK01
866,DK02
867,DK02
868,DK03
869,DK03
870,DK03
871,DK04
872,DK02
873,DK04
874,DK03
875,DK03
876,DK04
878,DK04
879,DK05
880,DK05
881,DK04
882,DK04
883,DK04
884,DK01
885,DK01
886,DK03
887,DK02
888,DK03
889,DK01
890,DK04
891,DK01
892,DK04
893,DK02
894,DK03
895,DK03
896,DK03
897,EE00
898,EE00
900,EE00
